Timestamp,[W]
2013-04-15 00:00:00.000,7515
2013-04-15 01:00:00.000,6417
2013-04-15 02:00:00.000,5580
2013-04-15 03:00:00.000,5118
2013-04-15 04:00:00.000,5154
2013-04-15 05:00:00.000,5781
2013-04-15 06:00:00.000,7119
2013-04-15 07:00:00.000,8631
2013-04-15 08:00:00.000,8928
2013-04-15 09:00:00.000,8709
2013-04-15 10:00:00.000,8409
2013-04-15 11:00:00.000,8577
2013-04-15 12:00:00.000,8463
2013-04-15 13:00:00.000,8277
2013-04-15 14:00:00.000,7968
2013-04-15 15:00:00.000,7830
2013-04-15 16:00:00.000,7703.9995
2013-04-15 17:00:00.000,7593
2013-04-15 18:00:00.000,8103
2013-04-15 19:00:00.000,9594
2013-04-15 20:00:00.000,10845
2013-04-15 21:00:00.000,10428
2013-04-15 22:00:00.000,9669
2013-04-15 23:00:00.000,8868
2013-04-16 00:00:00.000,7797
2013-04-16 01:00:00.000,6822
2013-04-16 02:00:00.000,5946
2013-04-16 03:00:00.000,5493
2013-04-16 04:00:00.000,5493
2013-04-16 05:00:00.000,6036
2013-04-16 06:00:00.000,7365
2013-04-16 07:00:00.000,8739
2013-04-16 08:00:00.000,8937
2013-04-16 09:00:00.000,8757
2013-04-16 10:00:00.000,8562
2013-04-16 11:00:00.000,8301
2013-04-16 12:00:00.000,8153.9995
2013-04-16 13:00:00.000,8037
2013-04-16 14:00:00.000,7853.9995
2013-04-16 15:00:00.000,7686.0005
2013-04-16 16:00:00.000,7692
2013-04-16 17:00:00.000,7632
2013-04-16 18:00:00.000,8016.0005
2013-04-16 19:00:00.000,9423
2013-04-16 20:00:00.000,10851
2013-04-16 21:00:00.000,10587
2013-04-16 22:00:00.000,9798
2013-04-16 23:00:00.000,8721
2013-04-17 00:00:00.000,7659
2013-04-17 01:00:00.000,6624
2013-04-17 02:00:00.000,5862
2013-04-17 03:00:00.000,5316
2013-04-17 04:00:00.000,5316
2013-04-17 05:00:00.000,5841
2013-04-17 06:00:00.000,7146
2013-04-17 07:00:00.000,8508
2013-04-17 08:00:00.000,8673
2013-04-17 09:00:00.000,8709
2013-04-17 10:00:00.000,8337
2013-04-17 11:00:00.000,8133
2013-04-17 12:00:00.000,8088
2013-04-17 13:00:00.000,7908
2013-04-17 14:00:00.000,7548
2013-04-17 15:00:00.000,7407
2013-04-17 16:00:00.000,7281
2013-04-17 17:00:00.000,7338
2013-04-17 18:00:00.000,7748.9995
2013-04-17 19:00:00.000,9087
2013-04-17 20:00:00.000,10515
2013-04-17 21:00:00.000,10302
2013-04-17 22:00:00.000,9372
2013-04-17 23:00:00.000,8304
2013-04-18 00:00:00.000,7293
2013-04-18 01:00:00.000,6180
2013-04-18 02:00:00.000,5403
2013-04-18 03:00:00.000,4935
2013-04-18 04:00:00.000,4971
2013-04-18 05:00:00.000,5523
2013-04-18 06:00:00.000,6777
2013-04-18 07:00:00.000,8130
2013-04-18 08:00:00.000,8334
2013-04-18 09:00:00.000,8183.9995
2013-04-18 10:00:00.000,8033.9995
2013-04-18 11:00:00.000,8076.0005
2013-04-18 12:00:00.000,8001.0005
2013-04-18 13:00:00.000,7773
2013-04-18 14:00:00.000,7551
2013-04-18 15:00:00.000,7497
2013-04-18 16:00:00.000,7353
2013-04-18 17:00:00.000,7323
2013-04-18 18:00:00.000,7686.0005
2013-04-18 19:00:00.000,9027
2013-04-18 20:00:00.000,10317
2013-04-18 21:00:00.000,10080
2013-04-18 22:00:00.000,9234
2013-04-18 23:00:00.000,8138.9995
2013-04-19 00:00:00.000,6948
2013-04-19 01:00:00.000,6000
2013-04-19 02:00:00.000,5271
2013-04-19 03:00:00.000,4839
2013-04-19 04:00:00.000,4857
2013-04-19 05:00:00.000,5373
2013-04-19 06:00:00.000,6594
2013-04-19 07:00:00.000,7896.0005
2013-04-19 08:00:00.000,8148
2013-04-19 09:00:00.000,8076.0005
2013-04-19 10:00:00.000,7923
2013-04-19 11:00:00.000,7908
2013-04-19 12:00:00.000,7767
2013-04-19 13:00:00.000,7665
2013-04-19 14:00:00.000,7407
2013-04-19 15:00:00.000,7293
2013-04-19 16:00:00.000,7305
2013-04-19 17:00:00.000,7116
2013-04-19 18:00:00.000,7323
2013-04-19 19:00:00.000,8592
2013-04-19 20:00:00.000,10110
2013-04-19 21:00:00.000,9726
2013-04-19 22:00:00.000,8787
2013-04-19 23:00:00.000,7878
2013-04-20 00:00:00.000,6903
2013-04-20 01:00:00.000,5913
2013-04-20 02:00:00.000,5151
2013-04-20 03:00:00.000,4638
2013-04-20 04:00:00.000,4593
2013-04-20 05:00:00.000,4803
2013-04-20 06:00:00.000,5496
2013-04-20 07:00:00.000,6657
2013-04-20 08:00:00.000,7371
2013-04-20 09:00:00.000,7677
2013-04-20 10:00:00.000,7677
2013-04-20 11:00:00.000,7662
2013-04-20 12:00:00.000,7668
2013-04-20 13:00:00.000,7527
2013-04-20 14:00:00.000,7290
2013-04-20 15:00:00.000,7056
2013-04-20 16:00:00.000,6888
2013-04-20 17:00:00.000,6762
2013-04-20 18:00:00.000,6933
2013-04-20 19:00:00.000,8235
2013-04-20 20:00:00.000,9669
2013-04-20 21:00:00.000,9252
2013-04-20 22:00:00.000,8508
2013-04-20 23:00:00.000,7455
2013-04-21 00:00:00.000,6588
2013-04-21 01:00:00.000,5577
2013-04-21 02:00:00.000,4743
2013-04-21 03:00:00.000,4446
2013-04-21 04:00:00.000,4377
2013-04-21 05:00:00.000,4380
2013-04-21 06:00:00.000,4824
2013-04-21 07:00:00.000,5601
2013-04-21 08:00:00.000,6507
2013-04-21 09:00:00.000,7197
2013-04-21 10:00:00.000,7389
2013-04-21 11:00:00.000,7569
2013-04-21 12:00:00.000,7470
2013-04-21 13:00:00.000,7245
2013-04-21 14:00:00.000,6792
2013-04-21 15:00:00.000,6393
2013-04-21 16:00:00.000,6216
2013-04-21 17:00:00.000,6063
2013-04-21 18:00:00.000,6366
2013-04-21 19:00:00.000,7620
2013-04-21 20:00:00.000,9333
